SqFt,Bedrooms,Bathrooms,AgeYears,GarageSpaces,LotSize,OverallQuality,DistanceToCityKm,Neighborhood,SalePrice,RoomsTotal,QualityPerAge
1267.0,5,3.4,33.0,0.0,2136.0,7,28.1,Downtown,292420.0,8.4,0.20588235294117646
1858.0,4,2.7,38.0,0.0,4375.0,4,20.9,Suburb,270610.0,6.7,0.10256410256410256
1066.0,4,2.5,16.0,2.0,1328.0,2,12.8,Downtown,230748.0,6.5,0.11764705882352941
1469.0,2,1.9,35.0,3.0,2617.0,2,8.3,Downtown,273625.0,3.9,0.05555555555555555
1976.0,3,3.1,7.0,2.0,4723.0,4,12.2,Waterfront,458859.0,6.1,0.5
924.0,2,1.8,10.0,0.0,1141.0,6,4.5,Waterfront,258344.0,3.8,0.5454545454545454
2042.0,2,2.2,8.0,1.0,3693.0,3,7.2,Rural,266115.0,4.2,0.3333333333333333
1789.0,5,2.8,13.0,2.0,4262.0,6,3.4,Suburb,318930.0,7.8,0.42857142857142855
2104.0,3,2.4,7.0,2.0,5298.0,5,3.2,Downtown,400043.0,5.4,0.625
1923.0,4,2.4,65.0,2.0,6402.0,5,11.3,Suburb,306424.0,6.4,0.07575757575757576
2550.0,4,2.2,8.0,2.0,6845.0,2,4.8,Suburb,375426.0,6.2,0.2222222222222222
1869.0,4,2.5,2.0,0.0,4026.0,8,1.9,Downtown,375789.0,6.5,2.6666666666666665
1564.0,5,4.1,15.0,2.0,5223.0,5,1.8,Suburb,310780.0,9.1,0.3125
1867.0,2,2.2,1.0,2.0,5611.0,2,15.7,Downtown,333325.0,4.2,1.0
2099.0,1,1.2,2.0,1.0,3484.0,7,9.1,Waterfront,478017.0,2.2,2.3333333333333335
1827.0,3,1.5,5.0,2.0,2742.0,9,6.3,Downtown,399618.0,4.5,1.5
1822.0,2,1.6,12.0,1.0,5018.0,9,4.1,Suburb,359550.0,3.6,0.6923076923076923
1414.0,1,1.3,11.0,0.0,3518.0,1,4.5,Suburb,224148.0,2.3,0.08333333333333333
1435.0,3,2.4,32.0,1.0,4328.0,7,0.5,Suburb,318859.0,5.4,0.21212121212121213
1029.0,4,2.0,27.0,1.0,2983.0,9,4.9,Suburb,251954.0,6.0,0.32142857142857145
2762.0,3,1.9,11.0,1.0,7286.0,6,12.7,Downtown,468835.0,4.9,0.5
1116.0,3,2.3,8.0,1.0,3871.0,1,3.9,Waterfront,285029.0,5.3,0.1111111111111111
1419.0,4,3.2,8.0,2.0,3444.0,2,3.9,Rural,200896.0,7.2,0.2222222222222222
1405.0,2,1.0,30.0,2.0,2052.0,4,0.2,Waterfront,298207.0,3.0,0.12903225806451613
2292.0,1,1.0,1.0,1.0,7117.0,4,4.9,Rural,282790.0,2.0,2.0
1638.0,4,3.0,0.0,0.0,2914.0,2,0.2,Suburb,271567.0,7.0,2.0
2486.0,4,3.3,32.0,2.0,7428.0,8,6.8,Waterfront,582787.0,7.3,0.24242424242424243
1430.0,4,3.2,13.0,1.0,4864.0,2,5.7,Downtown,262989.0,7.2,0.14285714285714285
1953.0,1,1.4,3.0,1.0,5474.0,3,14.7,Downtown,332360.0,2.4,0.75
1341.0,4,2.5,5.0,2.0,3448.0,4,7.0,Downtown,273339.0,6.5,0.6666666666666666
2980.0,4,1.9,54.0,2.0,6731.0,9,3.1,Suburb,459810.0,5.9,0.16363636363636364
1147.0,3,2.1,39.0,2.0,2338.0,10,5.8,Suburb,269421.0,5.1,0.25
1970.0,4,3.4,25.0,2.0,3963.0,1,9.6,Downtown,331495.0,7.4,0.038461538461538464
2149.0,4,3.6,13.0,0.0,5724.0,8,0.8,Rural,286049.0,7.6,0.5714285714285714
2028.0,3,2.7,15.0,2.0,5938.0,5,7.8,Suburb,361829.0,5.7,0.3125
1698.0,3,2.5,74.0,1.0,4687.0,7,19.9,Downtown,322433.0,5.5,0.09333333333333334
1729.0,5,3.7,67.0,1.0,2864.0,8,2.8,Suburb,291759.0,8.7,0.11764705882352941
1824.0,4,2.6,5.0,0.0,4261.0,5,7.9,Downtown,361489.0,6.6,0.8333333333333334
1719.0,3,2.2,33.0,2.0,5193.0,8,13.8,Rural,255901.0,5.2,0.23529411764705882
2330.0,4,3.7,4.0,0.0,5345.0,10,5.7,Downtown,506796.0,7.7,2.0
3016.0,3,1.8,5.0,3.0,7342.0,8,10.1,Waterfront,640821.0,4.8,1.3333333333333333
1493.0,2,2.5,23.0,2.0,4440.0,9,3.0,Rural,227553.0,4.5,0.375
1047.0,3,2.1,10.0,2.0,2849.0,2,2.9,Downtown,240810.0,5.1,0.18181818181818182
1751.0,5,4.2,54.0,2.0,3750.0,3,8.8,Downtown,340240.0,9.2,0.05454545454545454
3219.0,5,2.8,2.0,2.0,10492.0,1,9.8,Rural,405949.0,7.8,0.3333333333333333
1358.0,3,2.6,14.0,2.0,2137.0,4,22.1,Rural,244217.0,5.6,0.26666666666666666
2702.0,3,1.9,50.0,1.0,9429.0,5,2.0,Rural,297748.0,4.9,0.09803921568627451
2723.0,2,1.0,47.0,2.0,4012.0,1,5.1,Rural,256451.0,3.0,0.020833333333333332
1496.0,5,3.6,3.0,2.0,1847.0,8,2.3,Downtown,334401.0,8.6,2.0
2113.0,5,4.0,9.0,3.0,6861.0,2,0.7,Suburb,352036.0,9.0,0.2
2696.0,4,2.5,19.0,2.0,4754.0,1,4.1,Downtown,454328.0,6.5,0.05
1591.0,4,2.2,3.0,2.0,4579.0,2,3.7,Rural,203420.0,6.2,0.5
1688.0,4,2.9,69.0,2.0,5174.0,5,2.5,Suburb,291403.0,6.9,0.07142857142857142
1480.0,3,2.3,49.0,2.0,4700.0,9,2.8,Suburb,295584.0,5.3,0.18
1242.0,2,2.0,4.0,2.0,4323.0,9,3.6,Downtown,319808.0,4.0,1.8
1443.0,3,2.8,3.0,1.0,2707.0,2,36.0,Suburb,242667.0,5.8,0.5
1127.0,4,2.9,2.0,2.0,3193.0,2,12.2,Suburb,190506.0,6.9,0.6666666666666666
1819.0,4,3.8,48.0,3.0,2666.0,3,0.6,Rural,227028.0,7.8,0.061224489795918366
1377.0,3,2.4,4.0,2.0,2941.0,7,16.5,Suburb,272860.0,5.4,1.4
1929.0,5,3.3,11.0,2.0,6077.0,3,8.0,Rural,260716.0,8.3,0.25
944.0,2,1.0,12.0,0.0,1931.0,1,17.7,Suburb,139163.0,3.0,0.07692307692307693
1982.0,3,2.2,18.0,2.0,5073.0,6,3.3,Downtown,416663.0,5.2,0.3157894736842105
2258.0,4,2.7,1.0,2.0,5326.0,3,5.0,Rural,240669.0,6.7,1.5
703.0,4,3.4,5.0,2.0,1888.0,1,18.1,Rural,134556.0,7.4,0.16666666666666666
2006.0,4,3.1,54.0,0.0,6896.0,4,2.5,Suburb,330098.0,7.1,0.07272727272727272
2475.0,3,1.7,48.0,2.0,3287.0,1,19.8,Rural,237807.0,4.7,0.02040816326530612
1135.0,2,1.8,30.0,2.0,2860.0,1,14.1,Suburb,164780.0,3.8,0.03225806451612903
2720.0,4,3.2,0.0,1.0,8663.0,2,31.5,Suburb,402485.0,7.2,2.0
2030.0,3,3.1,8.0,1.0,4684.0,10,3.1,Suburb,399482.0,6.1,1.1111111111111112
1412.0,2,2.1,20.0,1.0,1949.0,8,2.2,Downtown,296125.0,4.1,0.38095238095238093
1769.0,4,3.3,6.0,2.0,4403.0,2,3.2,Downtown,314982.0,7.3,0.2857142857142857
2107.0,3,2.3,48.0,0.0,4138.0,2,24.7,Downtown,278311.0,5.3,0.04081632653061224
1842.0,4,3.1,20.0,1.0,2867.0,10,3.2,Suburb,350967.0,7.1,0.47619047619047616
2096.0,4,3.5,1.0,2.0,6608.0,10,6.7,Suburb,411628.0,7.5,5.0
1294.0,2,1.0,48.0,0.0,3105.0,8,4.1,Suburb,239028.0,3.0,0.16326530612244897
1893.0,1,1.0,63.0,1.0,6335.0,6,4.0,Waterfront,458263.0,2.0,0.09375
1022.0,4,2.5,2.0,2.0,3121.0,4,1.7,Downtown,260285.0,6.5,1.3333333333333333
1739.0,4,3.1,15.0,2.0,4858.0,3,6.2,Suburb,298552.0,7.1,0.1875
1303.0,4,3.5,7.0,2.0,1579.0,1,15.1,Rural,164985.0,7.5,0.125
1395.0,4,2.6,10.0,1.0,3047.0,3,0.4,Downtown,322814.0,6.6,0.2727272727272727
2480.0,4,1.7,4.0,2.0,4102.0,9,17.6,Downtown,416522.0,5.7,1.8
2400.0,5,3.3,17.0,2.0,7908.0,5,8.8,Downtown,451137.0,8.3,0.2777777777777778
2135.0,3,2.8,63.0,0.0,3419.0,6,7.7,Downtown,366139.0,5.8,0.09375
1199.0,3,2.6,14.0,1.0,2228.0,5,7.9,Waterfront,320835.0,5.6,0.3333333333333333
1626.0,3,2.5,2.0,1.0,3884.0,1,2.8,Rural,180693.0,5.5,0.3333333333333333
2467.0,2,1.6,19.0,1.0,4455.0,10,4.3,Suburb,399578.0,3.6,0.5
1878.0,3,1.7,8.0,2.0,3160.0,1,12.8,Rural,178933.0,4.7,0.1111111111111111
3076.0,3,2.6,39.0,2.0,7930.0,4,2.9,Rural,357218.0,5.6,0.1
2016.0,5,3.1,11.0,1.0,2832.0,3,5.1,Downtown,342918.0,8.1,0.25
1906.0,3,3.4,4.0,1.0,2542.0,8,0.2,Rural,260556.0,6.4,1.6
1630.0,3,2.6,4.0,1.0,3352.0,7,10.6,Suburb,316917.0,5.6,1.4
1873.0,3,2.0,29.0,2.0,5352.0,7,4.3,Rural,247780.0,5.0,0.23333333333333334
1716.0,2,1.4,6.0,1.0,4249.0,8,6.0,Rural,223343.0,3.4,1.1428571428571428
2189.0,1,1.1,29.0,2.0,4756.0,10,1.0,Suburb,355202.0,2.1,0.3333333333333333
2326.0,3,2.2,5.0,1.0,5818.0,7,38.3,Downtown,440077.0,5.2,1.1666666666666667
1368.0,2,2.3,8.0,2.0,2791.0,10,2.9,Downtown,329618.0,4.3,1.1111111111111112
1068.0,4,3.0,13.0,2.0,3581.0,2,8.1,Suburb,222653.0,7.0,0.14285714285714285
790.0,4,2.5,57.0,1.0,1048.0,4,7.0,Rural,147192.0,6.5,0.06896551724137931
2079.0,4,3.8,54.0,2.0,5715.0,6,12.3,Rural,256463.0,7.8,0.10909090909090909
1193.0,4,2.9,5.0,3.0,3877.0,3,2.8,Downtown,271398.0,6.9,0.5
616.0,2,2.1,9.0,1.0,1878.0,3,11.3,Suburb,155689.0,4.1,0.3
2014.0,4,2.6,3.0,2.0,3269.0,6,3.9,Suburb,341316.0,6.6,1.5
3171.0,4,3.1,14.0,0.0,5963.0,1,4.2,Downtown,487478.0,7.1,0.06666666666666667
1797.0,2,1.9,12.0,2.0,5120.0,1,8.9,Downtown,294226.0,3.9,0.07692307692307693
2261.0,4,2.0,46.0,0.0,3151.0,5,12.3,Suburb,303654.0,6.0,0.10638297872340426
1845.0,3,3.3,53.0,3.0,5659.0,1,8.8,Waterfront,439545.0,6.3,0.018518518518518517
1746.0,4,3.5,10.0,2.0,4982.0,10,18.4,Suburb,320931.0,7.5,0.9090909090909091
2305.0,5,3.3,14.0,2.0,6634.0,8,2.7,Suburb,376419.0,8.3,0.5333333333333333
1640.0,1,1.0,45.0,2.0,2346.0,2,18.5,Rural,142944.0,2.0,0.043478260869565216
1947.0,4,3.1,33.0,2.0,5551.0,6,1.1,Suburb,363036.0,7.1,0.17647058823529413
1977.0,4,2.9,0.0,1.0,5464.0,10,8.6,Waterfront,526030.0,6.9,10.0
1433.0,5,3.7,8.0,2.0,4458.0,10,6.3,Waterfront,466235.0,8.7,1.1111111111111112
2346.0,3,2.4,11.0,3.0,3040.0,5,5.5,Downtown,385669.0,5.4,0.4166666666666667
1704.0,4,3.2,5.0,2.0,2135.0,10,3.0,Suburb,357360.0,7.2,1.6666666666666667
1384.0,2,2.4,4.0,3.0,2848.0,4,5.6,Suburb,230336.0,4.4,0.8
2095.0,3,2.6,1.0,2.0,3231.0,1,1.4,Downtown,332294.0,5.6,0.5
1306.0,2,1.2,21.0,2.0,3244.0,3,3.7,Downtown,242139.0,3.2,0.13636363636363635
1815.0,5,4.2,6.0,2.0,6007.0,4,0.8,Suburb,290940.0,9.2,0.5714285714285714
1795.0,4,3.7,1.0,1.0,3770.0,2,6.8,Suburb,277397.0,7.7,1.0
2397.0,4,4.5,5.0,0.0,7535.0,2,0.8,Downtown,426849.0,8.5,0.3333333333333333
2061.0,5,2.9,32.0,1.0,2474.0,2,1.4,Downtown,320045.0,7.9,0.06060606060606061
1786.0,2,1.8,38.0,2.0,2835.0,1,0.7,Waterfront,338216.0,3.8,0.02564102564102564
2250.0,3,1.3,13.0,1.0,2857.0,10,3.8,Downtown,420887.0,4.3,0.7142857142857143
2565.0,2,2.0,11.0,1.0,5014.0,2,14.8,Downtown,381185.0,4.0,0.16666666666666666
2107.0,2,1.4,76.0,3.0,6930.0,6,19.0,Suburb,302676.0,3.4,0.07792207792207792
1806.0,2,2.7,4.0,1.0,2570.0,3,0.6,Waterfront,367432.0,4.7,0.6
1078.0,3,1.9,5.0,2.0,2797.0,10,8.1,Downtown,317408.0,4.9,1.6666666666666667
1214.0,3,1.5,7.0,0.0,2717.0,5,9.2,Suburb,200704.0,4.5,0.625
1632.0,2,1.5,4.0,0.0,5481.0,1,6.1,Rural,195939.0,3.5,0.2
1465.0,2,1.0,10.0,2.0,2171.0,8,8.8,Downtown,344427.0,3.0,0.7272727272727273
1697.0,2,2.1,48.0,2.0,2864.0,4,2.1,Rural,208150.0,4.1,0.08163265306122448
1831.0,5,2.5,19.0,2.0,2322.0,9,5.4,Suburb,303535.0,7.5,0.45
2091.0,4,2.9,11.0,0.0,4596.0,4,4.0,Suburb,328322.0,6.9,0.3333333333333333
1761.0,5,2.5,54.0,2.0,3239.0,2,0.8,Suburb,279532.0,7.5,0.03636363636363636
2068.0,3,2.1,1.0,1.0,6619.0,3,7.9,Suburb,312642.0,5.1,1.5
1835.0,3,3.1,5.0,1.0,4755.0,5,5.5,Downtown,358404.0,6.1,0.8333333333333334
713.0,4,3.1,17.0,0.0,1863.0,10,2.6,Rural,174118.0,7.1,0.5555555555555556
1283.0,3,1.9,19.0,0.0,3109.0,6,5.1,Suburb,238384.0,4.9,0.3
1721.0,3,2.3,1.0,1.0,2429.0,7,11.9,Downtown,329397.0,5.3,3.5
1135.0,2,1.7,10.0,0.0,2524.0,4,12.9,Downtown,240748.0,3.7,0.36363636363636365
2130.0,2,1.9,21.0,3.0,7453.0,7,8.4,Suburb,401223.0,3.9,0.3181818181818182
2642.0,3,1.6,24.0,1.0,8246.0,10,5.0,Suburb,444352.0,4.6,0.4
2470.0,3,2.6,20.0,0.0,8040.0,3,6.9,Downtown,391539.0,5.6,0.14285714285714285
1683.0,4,1.5,8.0,1.0,5206.0,7,3.9,Suburb,364889.0,5.5,0.7777777777777778
2620.0,2,1.4,2.0,2.0,3765.0,4,1.1,Downtown,428713.0,3.4,1.3333333333333333
1882.0,2,1.5,11.0,0.0,3243.0,8,3.9,Suburb,329924.0,3.5,0.6666666666666666
1615.0,4,3.2,3.0,2.0,1950.0,9,6.0,Downtown,367664.0,7.2,2.25
1463.0,2,1.7,59.0,3.0,2777.0,7,7.3,Suburb,264716.0,3.7,0.11666666666666667
1634.0,3,1.6,13.0,1.0,2369.0,8,22.0,Suburb,273557.0,4.6,0.5714285714285714
1587.0,4,2.4,8.0,2.0,3630.0,8,12.0,Waterfront,450979.0,6.4,0.8888888888888888
1894.0,2,1.8,29.0,0.0,5223.0,2,1.3,Downtown,308338.0,3.8,0.06666666666666667
1888.0,2,1.7,14.0,2.0,6063.0,9,1.5,Suburb,368819.0,3.7,0.6
1802.0,3,2.0,7.0,1.0,5268.0,6,0.8,Downtown,389357.0,5.0,0.75
2040.0,3,2.1,33.0,1.0,6852.0,4,10.7,Waterfront,470519.0,5.1,0.11764705882352941
2455.0,3,2.6,40.0,1.0,3250.0,5,9.8,Rural,288467.0,5.6,0.12195121951219512
2322.0,4,2.6,22.0,2.0,2851.0,10,34.4,Downtown,397487.0,6.6,0.43478260869565216
983.0,2,1.7,1.0,1.0,2675.0,5,5.9,Suburb,242720.0,3.7,2.5
500.0,3,3.4,17.0,1.0,933.0,7,14.0,Rural,153528.0,6.4,0.3888888888888889
2314.0,3,1.6,29.0,2.0,4126.0,9,6.9,Suburb,379617.0,4.6,0.3
1048.0,2,1.0,3.0,2.0,2055.0,7,16.6,Suburb,231052.0,3.0,1.75
1676.0,4,3.3,5.0,2.0,3051.0,9,10.2,Downtown,377615.0,7.3,1.5
1156.0,3,2.0,43.0,0.0,2747.0,4,8.2,Downtown,225014.0,5.0,0.09090909090909091
809.0,3,2.1,0.0,2.0,1790.0,10,6.7,Rural,191985.0,5.1,10.0
2098.0,2,1.3,28.0,2.0,4990.0,10,10.3,Waterfront,531073.0,3.3,0.3448275862068966
2218.0,3,2.2,13.0,0.0,6093.0,4,4.4,Suburb,340209.0,5.2,0.2857142857142857
1483.0,3,3.1,12.0,2.0,3100.0,6,0.8,Suburb,292972.0,6.1,0.46153846153846156
500.0,4,3.3,0.0,1.0,889.0,8,0.3,Suburb,209225.0,7.3,8.0
1500.0,2,2.1,34.0,3.0,2373.0,9,5.2,Rural,222221.0,4.1,0.2571428571428571
2015.0,3,1.6,9.0,0.0,4038.0,1,7.3,Rural,179788.0,4.6,0.1
987.0,3,1.7,16.0,2.0,2868.0,1,0.7,Rural,164223.0,4.7,0.058823529411764705
1901.0,4,1.5,23.0,1.0,5590.0,8,2.7,Rural,288312.0,5.5,0.3333333333333333
1792.0,3,1.9,24.0,3.0,4899.0,7,3.1,Suburb,328900.0,4.9,0.28
2119.0,4,3.4,62.0,1.0,3683.0,9,6.6,Downtown,383424.0,7.4,0.14285714285714285
1866.0,4,3.2,15.0,3.0,4763.0,3,2.6,Downtown,394227.0,7.2,0.1875
1265.0,4,2.8,10.0,3.0,3178.0,10,0.8,Rural,244706.0,6.8,0.9090909090909091
2458.0,3,2.3,61.0,1.0,5687.0,5,1.4,Suburb,358951.0,5.3,0.08064516129032258
1713.0,3,2.0,21.0,2.0,4222.0,3,1.5,Downtown,308259.0,5.0,0.13636363636363635
1785.0,4,3.0,7.0,3.0,4161.0,5,14.8,Downtown,333888.0,7.0,0.625
1287.0,5,3.9,3.0,1.0,3218.0,10,2.7,Suburb,328096.0,8.9,2.5
1556.0,4,2.1,37.0,1.0,4428.0,1,10.0,Downtown,242771.0,6.1,0.02631578947368421
1313.0,3,2.4,9.0,2.0,1907.0,4,6.7,Downtown,276968.0,5.4,0.4
1705.0,2,2.2,22.0,1.0,4986.0,6,30.2,Suburb,281618.0,4.2,0.2608695652173913
2741.0,3,2.1,13.0,0.0,4146.0,2,2.5,Suburb,331629.0,5.1,0.14285714285714285
1045.0,4,3.3,4.0,1.0,1414.0,7,1.4,Suburb,224831.0,7.3,1.4
913.0,3,3.7,18.0,1.0,3145.0,8,0.4,Downtown,277348.0,6.7,0.42105263157894735
2609.0,3,2.2,1.0,1.0,8873.0,1,2.2,Rural,292534.0,5.2,0.5
1685.0,4,3.1,11.0,1.0,2256.0,4,9.2,Downtown,285912.0,7.1,0.3333333333333333
1432.0,3,1.9,16.0,2.0,3178.0,4,0.7,Suburb,237125.0,4.9,0.23529411764705882
2372.0,4,3.0,11.0,2.0,3862.0,5,2.2,Rural,293270.0,7.0,0.4166666666666667
1467.0,3,2.5,28.0,0.0,3398.0,4,15.5,Suburb,273476.0,5.5,0.13793103448275862
2804.0,3,2.4,35.0,2.0,8719.0,9,7.0,Rural,382778.0,5.4,0.25
2173.0,3,1.8,30.0,2.0,7359.0,7,0.6,Suburb,379072.0,4.8,0.22580645161290322
1532.0,4,3.0,1.0,3.0,4073.0,2,0.4,Suburb,297418.0,7.0,1.0
2987.0,2,2.4,4.0,0.0,6016.0,1,0.5,Downtown,460497.0,4.4,0.2
1467.0,2,1.9,15.0,1.0,3796.0,9,22.8,Suburb,276387.0,3.9,0.5625
2208.0,5,4.0,55.0,3.0,4234.0,1,15.2,Downtown,353423.0,9.0,0.017857142857142856
1965.0,2,1.6,36.0,3.0,6470.0,6,14.9,Downtown,393083.0,3.6,0.16216216216216217
2516.0,3,2.7,37.0,2.0,8056.0,2,20.6,Waterfront,511741.0,5.7,0.05263157894736842
2659.0,3,2.4,7.0,2.0,6605.0,4,5.6,Suburb,413966.0,5.4,0.5
1818.0,3,1.8,11.0,0.0,3540.0,6,2.3,Rural,222967.0,4.8,0.5
1386.0,4,3.1,13.0,2.0,2598.0,5,4.1,Suburb,288227.0,7.1,0.35714285714285715
2053.0,2,1.2,3.0,1.0,2621.0,6,10.2,Rural,280165.0,3.2,1.5
1427.0,3,2.0,1.0,2.0,4390.0,3,16.7,Suburb,271721.0,5.0,1.5
2907.0,3,2.4,59.0,2.0,6500.0,5,4.6,Suburb,384030.0,5.4,0.08333333333333333
1875.0,4,3.0,6.0,0.0,3652.0,2,6.1,Suburb,257385.0,7.0,0.2857142857142857
1599.0,2,1.1,5.0,2.0,3651.0,7,21.5,Downtown,329881.0,3.1,1.1666666666666667
1902.0,3,2.8,2.0,3.0,5864.0,3,0.9,Rural,287808.0,5.8,1.0
1059.0,2,2.0,53.0,1.0,1574.0,1,15.9,Downtown,174518.0,4.0,0.018518518518518517
1266.0,3,1.9,17.0,3.0,4017.0,8,1.4,Downtown,328831.0,4.9,0.4444444444444444
2460.0,2,1.0,22.0,3.0,8030.0,8,5.3,Suburb,409067.0,3.0,0.34782608695652173
1439.0,2,1.6,49.0,2.0,4860.0,3,2.0,Downtown,296983.0,3.6,0.06
1224.0,4,2.7,8.0,1.0,2588.0,7,7.4,Waterfront,361756.0,6.7,0.7777777777777778
2095.0,3,2.4,19.0,1.0,3560.0,9,6.5,Waterfront,505230.0,5.4,0.45
2452.0,5,3.3,1.0,1.0,5050.0,8,3.8,Waterfront,574039.0,8.3,4.0
2195.0,5,2.5,4.0,1.0,4315.0,3,15.9,Suburb,305585.0,7.5,0.6
2348.0,3,2.1,36.0,1.0,3769.0,2,8.6,Downtown,333221.0,5.1,0.05405405405405406
1384.0,2,1.5,29.0,3.0,3594.0,10,10.2,Waterfront,422988.0,3.5,0.3333333333333333
1018.0,3,2.6,9.0,2.0,2338.0,7,1.3,Suburb,194403.0,5.6,0.7
2626.0,4,2.6,9.0,2.0,8380.0,7,17.2,Waterfront,605058.0,6.6,0.7
1623.0,3,3.1,15.0,0.0,2067.0,9,1.5,Waterfront,426711.0,6.1,0.5625
1662.0,2,1.0,0.0,2.0,4456.0,5,2.0,Rural,250983.0,3.0,5.0
2531.0,3,3.0,6.0,3.0,7479.0,4,1.1,Downtown,473861.0,6.0,0.5714285714285714
2106.0,4,2.8,5.0,1.0,6206.0,8,4.6,Suburb,382333.0,6.8,1.3333333333333333
2051.0,4,3.3,6.0,1.0,6641.0,4,17.5,Rural,248959.0,7.3,0.5714285714285714
2991.0,2,1.7,33.0,2.0,8604.0,4,2.3,Suburb,404741.0,3.7,0.11764705882352941
1446.0,4,3.5,7.0,2.0,4821.0,2,3.7,Downtown,296867.0,7.5,0.25
2310.0,2,1.5,4.0,2.0,4539.0,1,15.0,Suburb,318817.0,3.5,0.2
1831.0,2,1.2,14.0,1.0,4316.0,4,7.7,Waterfront,427330.0,3.2,0.26666666666666666
1948.0,4,3.6,40.0,1.0,2401.0,7,11.1,Suburb,319232.0,7.6,0.17073170731707318
2641.0,2,1.6,6.0,3.0,3211.0,9,1.9,Suburb,399339.0,3.6,1.2857142857142858
2079.0,3,2.4,2.0,3.0,3643.0,9,10.1,Downtown,413926.0,5.4,3.0
2096.0,1,1.7,9.0,2.0,3001.0,10,2.1,Suburb,352168.0,2.7,1.0
2390.0,4,2.4,28.0,2.0,4298.0,1,34.9,Waterfront,430468.0,6.4,0.034482758620689655
1599.0,4,3.2,16.0,2.0,2570.0,5,6.6,Downtown,316658.0,7.2,0.29411764705882354
1338.0,4,2.6,34.0,2.0,1693.0,7,9.5,Suburb,251614.0,6.6,0.2
1225.0,4,2.8,64.0,1.0,4032.0,7,1.0,Rural,230711.0,6.8,0.1076923076923077
719.0,2,1.7,31.0,1.0,876.0,10,2.3,Rural,160418.0,3.7,0.3125
2931.0,3,1.5,19.0,2.0,8479.0,6,1.2,Suburb,454176.0,4.5,0.3
1193.0,3,1.9,14.0,0.0,1849.0,10,4.0,Rural,230435.0,4.9,0.6666666666666666
1678.0,2,2.4,1.0,1.0,5534.0,4,2.7,Suburb,296970.0,4.4,2.0
1648.0,3,2.7,83.0,2.0,5362.0,3,10.6,Downtown,326966.0,5.7,0.03571428571428571
1969.0,5,3.5,10.0,2.0,5324.0,9,0.9,Rural,338846.0,8.5,0.8181818181818182
